timestamp,elapsed_time,cpu_percent,memory_percent,memory_used_gb,memory_available_gb,disk_percent,disk_used_gb,network_sent_mb,network_recv_mb,service_processes,service_cpu,service_memory
2025-05-29T22:34:15.768690,2.8066787719726562,0.0,71.0,11.212276458740234,4.587825775146484,76.8,365.4033737182617,234.97857761383057,1159.6050233840942,2,0.0,6.876092191461796
2025-05-29T22:34:18.162257,5.200246095657349,23.8,71.0,11.221881866455078,4.578220367431641,76.8,365.4036178588867,234.97901344299316,1159.6055946350098,2,65.4,6.911148549627682
2025-05-29T22:34:20.451681,7.489670038223267,24.5,71.1,11.226417541503906,4.5736846923828125,76.8,365.40380096435547,234.9916524887085,1159.616678237915,2,57.800000000000004,6.911848711051105
2025-05-29T22:34:22.722174,9.760162591934204,20.1,71.0,11.225547790527344,4.574554443359375,76.8,365.4038619995117,234.99175643920898,1159.6169357299805,2,56.2,6.9119935720352625
2025-05-29T22:34:24.964344,12.002332925796509,18.3,71.0,11.223747253417969,4.57635498046875,76.8,365.4039840698242,234.99188995361328,1159.6170654296875,2,54.6,6.9120901460247
2025-05-29T22:34:27.180014,14.218002557754517,19.3,71.0,11.22305679321289,4.577045440673828,76.8,365.40404510498047,234.99194240570068,1159.6170654296875,2,54.900000000000006,6.9121142895220595
2025-05-29T22:34:29.408692,16.446681261062622,11.1,71.0,11.22036361694336,4.579738616943359,76.8,365.40404510498047,234.9919948577881,1159.6171054840088,2,54.6,6.91291102493492
2025-05-29T22:34:31.679322,18.717311143875122,13.4,71.0,11.211647033691406,4.5884552001953125,76.8,365.40404510498047,234.99214935302734,1159.617371559143,2,53.8,6.914480352263283
2025-05-29T22:34:34.031185,21.06917428970337,20.0,71.1,11.236881256103516,4.563220977783203,76.8,365.4042282104492,234.9999008178711,1159.6243534088135,2,56.9,6.914504495760642
2025-05-29T22:34:36.256507,23.294495344161987,24.7,71.1,11.240440368652344,4.559661865234375,76.8,365.4044723510742,235.00394821166992,1159.630407333374,2,56.0,6.914504495760642
2025-05-29T22:34:38.461178,25.4991672039032,15.0,71.0,11.210887908935547,4.589214324951172,76.8,365.4044723510742,235.00403022766113,1159.630407333374,2,55.3,6.914432065268565
